"wdid","baselineVolume","naturalVolume","totalDiff","pctNatural"
"4400500",1070405.49246136,1233393.67369915,-162988.181237788,0.867853885816554
"4400501",114021.664475988,122629.745172041,-8608.08069605303,0.929804300873524
"4400514",877879.041783989,985156.812750408,-107277.770966419,0.891105893419225
"4400516",789417.092054228,898094.259601337,-108677.167547109,0.878991357103929
"4400517",876172.804065107,985156.812750408,-108984.008685301,0.88937394811184
"4400522",864102.859797216,985156.812750408,-121053.952953192,0.877122148081961
"4400527",897020.216444703,1023523.32685721,-126503.110412508,0.876404272288602
"4400529",1073208.38477175,1233393.67369915,-160185.288927396,0.870126390021951
"4400541",1077051.53531708,1228500.14927697,-151448.613959896,0.87672071993721
"4400570",75796.7032407367,81599.1808988244,-5802.47765808768,0.928890491372919
"4400581",873162.441922426,985156.812750408,-111994.370827982,0.886318229363597
"4400584",1069508.17551942,1233393.67369915,-163885.498179729,0.86712636713288
"4400589",790003.997631417,898094.259601337,-108090.26196992,0.879644858193503
"4400601",75924.6363591169,81599.1808988244,-5674.5445397075,0.930458314934026
"4400613",1048380.63258552,1190852.17632291,-142471.543737393,0.880361688402574
"4400635",74485.1077872866,76130.321078125,-1645.21329083845,0.978389513303771
"4400652",81072.770827226,87111.2140147704,-6038.44318754446,0.930681218763401
"4400661",33923.2349229576,35518.3328113504,-1595.09788839288,0.955090856970541
"4400674",1061982.66685456,1233393.67369915,-171411.006844589,0.861024901862436
"4400675",1077100.19618278,1228500.14927697,-151399.953094197,0.876760329916686
"4400677",1077891.72863407,1228500.14927697,-150608.420642906,0.877404637898054
"4400687",1068414.62834732,1233393.67369915,-164979.045351826,0.866239750640988
"4400691",791489.93914852,898094.259601337,-106604.320452817,0.88129940781479
"4400694",1064654.9814343,1233300.58334738,-168645.601913071,0.863256691685542
"4400702",1062716.28229722,1233393.67369915,-170677.39140193,0.86161969609424
"4400711",1065557.98429262,1233393.67369915,-167835.68940653,0.863923666072355
"4400719",1064103.84423802,1233393.67369915,-169289.829461132,0.862744691276546
"4400720",1062923.22320705,1233393.67369915,-170470.450492095,0.861787477812476
"4400723",1074616.97138007,1233393.67369915,-158776.70231908,0.871268431397995
"4400729",1075885.26130766,1228500.14927697,-152614.887969315,0.875771372059551
"4400730",1063956.34098887,1233393.67369915,-169437.332710282,0.862625099898468
"4400731",113280.842464903,122629.745172041,-9348.90270713824,0.923763172678681
"4400740",76200.8661103274,81599.1808988244,-5398.31478849695,0.933843517434441
"4400749",1049147.17345089,1190852.17632291,-141705.002872019,0.881005379433766
"4400750",1048225.65830672,1190852.17632291,-142626.518016196,0.880231551109395
"4400751",1048790.34914087,1190852.17632291,-142061.827182044,0.880705741647381
"4400765",113570.163046831,122629.745172041,-9059.58212520974,0.926122474506493
"4400778",1073834.36449518,1233393.67369915,-159559.309203972,0.87063391631852
"4400786",1072142.34156723,1233393.67369915,-161251.332131923,0.869262072953314
"4400790",115465.424427444,125476.60416136,-10011.1797339156,0.920214769910082
"4400801",1073850.49663,1233393.67369915,-159543.177069148,0.870646995787928
"4400806",1048456.99576471,1190852.17632291,-142395.180558205,0.880425813220672
"4400819",1071058.11665337,1233393.67369915,-162335.557045782,0.8683830146794
"4400820",1076121.55741365,1228500.14927697,-152378.591863325,0.8759637172588
"4400821",877490.812703303,985156.812750408,-107666.000047106,0.89071181495815
"4400830",1075088.04294,1228500.14927697,-153412.106336978,0.87512243573819
"4400833",1072095.46581481,1233393.67369915,-161298.207884343,0.869224067445892
"4400834",796004.821209474,898094.259601337,-102089.438391863,0.886326588439413
"4400851",1071537.51874193,1233393.67369915,-161856.154957217,0.868771700059249
"4400861",1071593.51840667,1233393.67369915,-161800.155292479,0.8688171029715
"4401122",1071593.51840667,1233393.67369915,-161800.155292479,0.8688171029715
"4401268",1065684.06618241,1233393.67369915,-167709.607516736,0.864025889630399
"4401397",1073605.67164945,1233393.67369915,-159788.002049697,0.870448498758335
"4401707",1064234.7525452,1233393.67369915,-169158.921153952,0.862850827954536
"4402001",789802.015369582,898094.259601337,-108292.244231755,0.879419957232745
"4402207",796190.605221178,898094.259601337,-101903.654380158,0.886533453152909
"4402214",1077028.72553628,1228500.14927697,-151471.423740692,0.87670215275933
"5502034",1418719.7707898,1690107.76586327,-271387.995073474,0.839425626841698
"5700510",705768.468879668,802259.130873251,-96490.6619935839,0.879726315001794
"5700517",22164.8920953393,25330.8896698888,-3165.9975745495,0.875014355365774
"5700519",741401.64397868,821059.481128152,-79657.8371494717,0.902981648735095
"5700535",704032.148696257,802259.130873251,-98226.9821769948,0.877562026536145
"5700539",730768.649785661,821059.481128152,-90290.8313424909,0.89003131512661
"5700545",21709.0270559433,25330.8896698888,-3621.86261394554,0.857017946817284
"5700561",22672.6576504606,25330.8896698888,-2658.23201942817,0.895059666120292
"5700563",738035.449255575,821059.481128152,-83024.0318725769,0.898881830390046
"5700584",711431.773817244,784148.89218923,-72717.1183719869,0.90726618490913
"5700592",703116.782275598,802259.130873251,-99142.3485976531,0.876421040556139
"5700608",21395.1776952452,25330.8896698888,-3935.71197464358,0.844627961120449
"5700609",21729.7211469267,25330.8896698888,-3601.16852296208,0.857834897633191
"5700611",702749.511747122,802259.130873251,-99509.6191261294,0.875963245170156
"5700622",704620.112118352,802259.130873251,-97639.0187548993,0.87829491121077
"5700635",22121.1237623327,25330.8896698888,-3209.76590755606,0.873286491339799
"5700675",739789.620571783,821059.481128152,-81269.8605563686,0.901018303272374
"5704629",24189.0122086257,25330.8896698888,-1141.87746126311,0.954921541400874
"5800500",22942.4742169255,43557.6896395449,-20615.2154226194,0.526714672122936
"5800530",113446.527423384,151331.391521194,-37884.8640978105,0.749656276090578
"5800539",31009.8639351423,43557.6896395449,-12547.8257044026,0.711926279647973
"5800541",16506.5458057626,43557.6896395449,-27051.1438337823,0.378958249217533
"5800559",326259.666564599,378600.840808756,-52341.1742441574,0.861751035385057
