"wdid","structure_name","Longitude","Latitude","Unknown","Observed","User.Supplied...Unknown.Reliability","User.Supplied...Known.Reliability","Estimated","NA.","Calculated","optional"
4400500,"LILY PARK DITCH NO 1",-108.383737,40.452955,0.91,0.04,0.05,0,0,0,0,TRUE
4400501,"W R DEAKINS DITCH",-107.440065,40.348458,0.38,0.51,0.1,0.02,0,0,0,TRUE
4400514,"WOOLEY & JOHNSON D",-107.583803,40.497979,0.64,0.29,0.07,0.01,0,0,0,TRUE
4400516,"YAMPA DITCH",-107.499633,40.508668,0.65,0.25,0.07,0.02,0.01,0,0,TRUE
4400517,"YAMPA VAL STOCK BR CO D",-107.610937,40.482362,0.46,0.34,0.16,0.04,0,0,0,TRUE
4400522,"CRAIG STATION D & PL #1",-107.613326,40.480083,0.14,0.54,0.25,0.05,0,0.03,0,TRUE
4400527,"AIR LINE IRR D",-107.6479,40.454867,0.75,0.16,0.09,0,0,0,0,TRUE
4400529,"BEHRMAN DITCH 1",-108.212621,40.550486,0.41,0.44,0.12,0.02,0,0,0,TRUE
4400541,"BAILEY DITCH",-107.96558,40.472935,0.44,0.38,0.13,0.04,0,0,0,TRUE
4400570,"CARD DITCH",-107.350684,40.318386,0.28,0.54,0.13,0.05,0,0,0,TRUE
4400581,"CRAIG WATER SUPPLY PL",-107.535325,40.499396,0.01,0.71,0.18,0.08,0,0.03,0,TRUE
4400584,"CROSS MTN PUMP NO 1",-108.275328,40.518218,0.29,0.53,0.15,0.02,0,0,0,TRUE
4400589,"DEEP CUT IRR D",-107.472104,40.511035,0.16,0.78,0.05,0.01,0,0,0,TRUE
4400601,"DUNSTON DITCH",-107.363703,40.31713,0.38,0.48,0.11,0.03,0,0,0,TRUE
4400613,"ELLGEN DITCH",-107.694569,40.417028,0.6,0.32,0.07,0.01,0,0,0,TRUE
4400635,"GRIESER DITCH",-107.303878,40.27917,0.42,0.46,0.08,0.04,0,0,0,TRUE
4400652,"HIGHLAND AKA HIGHLINE D",-107.40329,40.320412,0.38,0.48,0.11,0.03,0,0,0,TRUE
4400661,"J P MORIN DITCH",-107.41231,40.311964,0.41,0.44,0.1,0.04,0.01,0,0,TRUE
