Station_ID,Station_Name,Station_Abbr
09260050,"YAMPAÊRIVERÊATÊDEERLODGEÊPARK,ÊCO",Yampa at Deerlodge
09251100,"YAMPAÊRIVERÊABV.ÊLITTLEÊSNAKEÊR.ÊNR.ÊMAYBELL,ÊCO",Yampa abv. Little Snake
09251000,"YAMPAÊRIVERÊNEARÊMAYBELL,ÊCO",Yampa at Maybell
09250700,"MORGANÊGULCHÊNEARÊAXIAL,ÊCO.",Morgan Gulch
09250610,"JUBBÊCREEKÊNEARÊAXIAL,ÊCO.",Jubb Creek
09250507,"WILSONÊCREEKÊABOVEÊTAYLORÊCREEKÊNEARÊAXIAL,ÊCO.",Wilson Creek abv Taylor Creek
09250510,"TAYLORÊCREEKÊATÊMOUTHÊNEARÊAXIAL,ÊCO.",Taylor Creek
09250600,"WILSONÊCREEKÊNEARÊAXIAL,ÊCO.",Wilson Creek near Axial
09250400,"GOODÊSPRINGÊCREEKÊATÊAXIAL,ÊCO.",Good Spring Creek
09250000,"MILKÊCREEKÊNEARÊTHORNBURGH,ÊCO.",Milk Creek
09249750,"WILLIAMSÊFORKÊATÊMOUTH,ÊNEARÊHAMILTON,ÊCO.",Williams Fork
09247600,"YAMPAÊRIVERÊBELOWÊCRAIG,ÊCO.",Yampa blw. Craig
09246920,"FORTIFICATIONÊCREEKÊNEARÊFORTIFICATION,ÊCO",Fortification Creek
09249455,"DEEPÊROCKÊGULCHÊNRÊHAMILTON,ÊCO",Deep Rock Gulch
09249450,"WADDLEÊCRÊNRÊPAGODA,ÊCO",Waddle Creek
09249200,"SOUTHÊFORKÊOFÊWILLIAMSÊFORKÊNEARÊPAGODA,ÊCO.",S. Fork Wiliams
09246500,"ELKHEADÊCREEKÊNEARÊCRAIG,ÊCO",Elkhead Creek near Craig
09244490,"YAMPAÊRIVERÊABOVEÊELKHEADÊCREEKÊNEARÊHAYDEN,ÊCO",Yampa abv. Elkhead Creek
09246400,"ELKHEADÊCREEKÊBELOWÊMAYNARDÊGULCH,ÊNEARÊCRAIG,ÊCO",Elkhead blw Maynard Gulch
09246200,"ELKHEADÊCREEKÊABOVEÊLONGÊGULCH,ÊNEARÊHAYDEN,ÊCO",Elkhead abv. Long Gulch
09245000,"ELKHEADÊCREEKÊNEARÊELKHEAD,ÊCO.",Elkhead Creek near Elknead
09244460,"WATERINGÊTROUGHÊGULCHÊNEARÊHAYDEN,ÊCO.",Watering Trough Gulch
09244464,"HUBBERSONÊGULCHÊNEARÊHAYDEN,ÊCO.",Hubberson Gulch
09244470,"STOKESÊGULCHÊNEARÊHAYDEN,ÊCO.",Stokes Gulch
09244415,"SAGEÊCREEKÊABOVEÊSAGEÊCREEKÊRES,ÊNRÊHAYDEN,ÊCO.",Sage Creek
09244410,"YAMPAÊRIVERÊBELOWÊDIVERSION,ÊNEARÊHAYDEN,ÊCO.",Yampa River near Hayden
09243800,"FOIDELÊCREEKÊNEARÊOAKÊCREEK,ÊCO",Foidel Creek
09236000,"BEARÊRIVERÊNEARÊTOPONAS,ÊCO",Bear River near Toponas
09243900,"FOIDELÊCREEKÊATÊMOUTHÊNEARÊOAKÊCREEK,ÊCO",Foidel Creek at Oak Creek
09243700,"MIDDLEÊCREEKÊNEARÊOAKÊCREEK,ÊCO",Middle Creek
09242500,"ELKÊRIVERÊNEARÊMILNER,ÊCO.",Elk River at Milner
09241000,"ELKÊRIVERÊATÊCLARK,ÊCO.",Elk River at Clark
09237450,"YAMPAÊRIVERÊABOVEÊSTAGECOACHÊRESERVOIR,ÊCO",Yampa above Stagecoach
09240900,"ELKÊRIVERÊABOVEÊCLARK,ÊCO",Elk River above Clark
09240020,"YAMPAÊRIVERÊBELOWÊSODAÊCREEKÊATÊSTEAMBOATÊSPGS,ÊCO",Yampa blw Soda Creek
09239500,"YAMPAÊRIVERÊATÊSTEAMBOATÊSPRINGS,ÊCO",Yampa at Steamboat
09237500,"YAMPAÊRIVERÊBELOWÊSTAGECOACHÊRESERVOIR,ÊCO",Yampa blw. Stagecoach
09238900,"FISHÊCRÊATÊUPPERÊSTAÊNRÊSTEAMBOATÊSPRINGS,ÊCO",Fish Creek at Upper Station
09238500,"WALTONÊCREEKÊNEARÊSTEAMBOATÊSPRINGS,ÊCO.",Walton Creek
09238800,"MIDÊFKÊFISHÊCRÊTRIBUTARYÊBLWÊFISHÊCRÊRESERVOIR,ÊCO",Middle Fork Fish Creek Tributary
09238750,"MIDDLEÊFORKÊFISHÊCREEKÊNEARÊBUFFALOÊPASS,ÊCO",Middle Fork Fish Creek 
09238770,"GRANITEÊCÊNRÊBUFFALOÊPASS,ÊCO.",Granite Creek
09238710,"FISHÊCÊTRIBÊBLÊLONGÊLK,ÊNRÊBUFFLAOÊPASS,ÊCO.",Fish Creek Tributary blw. Long Creek
09238700,"FISHÊCRÊTRIBÊABÊLONGÊLK,ÊNRÊBUFFALOÊPASS,ÊCO.",Fish Creek Tributary abv. Long Creek
09238705,"LONGÊLAKEÊINLETÊNEARÊBUFFALOÊPASS,ÊCO.",Long Lake Inlet
09238350,"FISHHOOKÊCREEKÊNEARÊRABBITÊEARSÊPASS,ÊCO.",Fishook Creek
09238300,"NORTHÊFORKÊWALTONÊCREEKÊNRÊRABBITÊEARSÊPASS,ÊCO.",N. Fork Walton Creek
